,Cardiac Vascular Intensive Care Unit (CVICU),Coronary Care Unit (CCU),Medical Intensive Care Unit (MICU),Medical/Surgical Intensive Care Unit (MICU/SICU),Neuro Surgical Intensive Care Unit (Neuro SICU),Surgical Intensive Care Unit (SICU),Trauma SICU (TSICU),mean,std,cv
Feature_4,0.48029472505765347,0.5700011945890501,0.6347243437768387,0.5304105569682032,0.6798366987827765,0.5961529562919134,0.7419836548521944,0.604772018616947,0.08251961077617675,0.13644746819618217
Feature_3,0.38244950262137606,0.6518785376563484,0.7219669683287854,0.8644753502842798,0.2778654965280414,0.5304826452658716,0.6966362491077777,0.58939353568464,0.18973558286333292,0.32191663358325756
Feature_7,0.6344145555859363,1.087217806282478,0.2607511289047638,0.6489128377939128,0.409507849471294,0.5258767909723231,0.52928900177985,0.5851385672557939,0.2394288842080437,0.40918322190062906
Feature_0,0.28841145493785686,0.38059201800868825,0.5746756675697386,0.39839988966471557,0.5768384282576372,0.5514860958531179,0.7069856920378039,0.49676989233279406,0.13429818633748078,0.27034284567212113
Feature_18,0.08278851360820044,0.1376509397986466,0.10255885698370026,0.18298031332371756,1.3776237317216526,0.734327872171779,0.36359039596236076,0.42593151765286535,0.44226055271256004,1.0383372311813817
Feature_19,0.09362495818953435,0.1947154223770129,0.13950626880818118,0.25652982578297145,1.2354676975567398,0.6574819213987875,0.37180663572051487,0.4213046756905346,0.3753796085845687,0.8909932176026935
Feature_6,0.1463403912624701,0.7854522258465422,0.3229191781659463,0.6981949706465471,0.22310551631848885,0.4003575099432904,0.10380793314218947,0.3828825321893535,0.2463298548806077,0.6433562102508923
Feature_8,0.24153662072533313,0.19456287397587985,0.13631379203678456,0.18816010033135386,0.23394292240643944,0.37022932175669815,0.6556012719867248,0.2886209861741734,0.1641766810392108,0.5688314048658107
Feature_10,0.16225202437278213,0.33726723087109656,0.32903597523849787,0.18084428924407064,0.193620656372994,0.30352515004237374,0.4744202495128237,0.2829950822363769,0.10360072174763348,0.36608665044256505
Feature_14,0.205249480292205,0.19083162034205145,0.2524648831278378,0.3070025271905902,0.3789008431587044,0.2957728333331617,0.26928302016935846,0.271357886801987,0.05933942212284165,0.21867587053455464
Feature_21,0.26464773640600836,0.2757450555742966,0.23875750891397277,0.1668278325623044,0.046497838489443215,0.22019617459690075,0.29727640238020997,0.21570693556044798,0.07948559905506947,0.3684888427372566
Feature_11,0.13927131645217766,0.06705574130569429,0.19108889722968275,0.013150016178097503,0.09679416037650818,0.35513916335256474,0.5086177622442635,0.1958738653055698,0.1630949884183284,0.8326531370782658
Feature_17,0.16149709021373465,0.2599104380359968,0.038281419849643804,0.3722705832151356,0.05276750638692102,0.08939420394376524,0.06767451372135815,0.14882796505236504,0.1158772941801976,0.7785989289004002
Feature_12,0.10130439572425175,0.15984476664699881,0.1530943042709691,0.04075893254367458,0.13570508310447832,0.05232833705134459,0.30895208489983544,0.1359982720345075,0.08285002959574042,0.609199134344284
Feature_26,0.09626520722705958,0.14945165127082705,0.279774559310435,0.09262857301308207,0.13958361210784037,0.0908219250643052,0.07962320903209433,0.13259267671794908,0.06487678386124027,0.4892938695192499
Feature_9,0.004764213762826268,0.1787978987671286,0.02489472281520006,0.2392469888196359,0.0030465330485615104,0.29999673266846727,0.1101568250006882,0.12298627355464398,0.11091356860780438,0.9018369725506352
Feature_5,0.07825925477016306,0.0941108260516357,0.07778412712917152,0.03677044659632089,0.34454283990953083,0.12481319150614942,0.08841484852062984,0.12067079064051447,0.09453571015577406,0.7834183372296085
Feature_13,0.030463364696270194,0.09480526164120481,0.2269138830710455,0.18597258490458146,0.07449538301092501,0.06549661034087849,0.12153363348804218,0.11424010302184964,0.06463739634711961,0.5658030292108281
Feature_2,0.19260717985511194,0.05198096151099156,0.05257067236502593,0.06657561121412323,0.20730499617908762,0.014445796949626923,0.017379935577419015,0.08612359337876944,0.07422044865369158,0.8617899665109405
Feature_22,0.35186945165323846,0.007292564381466702,0.02021543346791242,0.016323449141535083,0.04514959480449803,0.11052593713685603,0.005462654779989005,0.07954844076649939,0.1162073513372587,1.4608375754135163
Feature_23,0.055537803497531554,0.1563212242807097,0.04251659625257029,0.021707130114558,0.10431661494913788,0.026105990863727058,0.10709428385832814,0.07337137768808036,0.04652001771017979,0.6340349489953391
Feature_16,0.034053114018739644,0.06020265876505675,0.020280748138778573,0.14355188178852996,0.05328147899940054,0.00944481176274151,0.14001270205276659,0.0658324850751448,0.050704593731565294,0.7702062845370078
Feature_1,0.13756595578105907,0.03683267387704217,0.07006866517947848,0.055845515009284794,0.042102272374416175,0.0014681790740475988,0.10807363498203283,0.06456527089676588,0.04239832454047867,0.656673842633911
Feature_15,0.0750155424339634,0.05290702637521362,0.059998584254305556,0.0008639462444281925,0.04955920388558529,0.08760944175809643,0.0730813286100221,0.05700501050880208,0.026056182613585107,0.45708583124569024
Feature_20,0.015879867558226807,0.010971608680231249,0.0003355017262583194,0.08416718666592586,0.05164028207731405,0.01832051192773018,0.18846221125520543,0.052825309984413135,0.06146258513488287,1.163506378912273
Feature_25,8.8284575550604e-20,8.499866817154017e-20,0.0006586432871772286,0.0005635614985826823,2.3369452721438683e-20,8.684497150895838e-20,8.044727038359294e-20,0.00017460068367998729,0.0002772350089307293,1.5878231578912536
Feature_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Feature_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Feature_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Feature_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Feature_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
