scenario,strategy,test_auroc,test_recall,test_precision,test_f2,threshold
clean,FedAvg,0.8784204191095273,0.8311320754716981,0.2761755485893417,0.5928667563930013,0.4
clean,FedProx (μ=0.01),0.7721341543794288,0.7839622641509434,0.22435205183585313,0.523036253776435,0.01
clean,FedF2 (γ=0.1),0.8783773066259242,0.8311320754716981,0.27686989314896293,0.5935057935866344,0.4
clean,FedF2 (γ=0.3),0.8782707680072958,0.8301886792452831,0.2779532533164877,0.594112881447475,0.4
clean,FedF2 (γ=0.5),0.8780574746673638,0.8283018867924529,0.2789072426937738,0.5942068218733081,0.4
poisoned,FedAvg,0.7983540539781261,0.8377358490566038,0.1781344032096289,0.4813008130081301,0.89
poisoned,FedProx (μ=0.01),0.4285950300706872,0.19245283018867926,0.06555269922879177,0.13873775843307942,0.98
poisoned,FedF2 (γ=0.1),0.7976307583258959,0.839622641509434,0.17729083665338646,0.48056155507559395,0.89
poisoned,FedF2 (γ=0.3),0.7961975653872668,0.8433962264150944,0.174609375,0.4775641025641026,0.89
poisoned,FedF2 (γ=0.5),0.7947396286923843,0.8330188679245283,0.1783478085235306,0.48036122293548034,0.9
