scenario,num_malicious,attack_type,strategy,test_auroc,test_recall,test_precision,test_f2,test_ece,threshold,success
clean,0,none,FedAvg,0.8784204191095273,0.8311320754716981,0.2761755485893417,0.5928667563930013,0.2337816973511381,0.4,True
clean,0,none,FedProx (μ=0.01),0.7721341543794288,0.7839622641509434,0.22435205183585313,0.523036253776435,0.29564970260097534,0.01,True
clean,0,none,Median,0.862820939484768,0.8339622641509434,0.2485240371099241,0.5668846992432987,0.22377043073300823,0.35,True
clean,0,none,Krum,0.8653134677347902,0.8349056603773585,0.25163491612169464,0.5704524945210777,0.20754997314242604,0.33,True
clean,0,none,FedF2 (γ=0.5),0.8780574746673638,0.8283018867924529,0.2789072426937738,0.5942068218733081,0.23188112004651668,0.4,True
label-flip-1,1,label_flip,FedAvg,0.8522893917358016,0.8433962264150944,0.2222222222222222,0.540965750937916,0.24837951120854804,0.36,True
label-flip-1,1,label_flip,FedProx (μ=0.01),0.4641570482967868,0.3311320754716981,0.09569247546346783,0.22192716236722307,0.38050301332994324,0.01,True
label-flip-1,1,label_flip,Median,0.8698466535420308,0.840566037735849,0.255447247706422,0.5764751552795031,0.2251910080126367,0.36,True
label-flip-1,1,label_flip,Krum,0.8653134677347902,0.8349056603773585,0.25163491612169464,0.5704524945210777,0.20754997314242604,0.33,True
label-flip-1,1,label_flip,FedF2 (γ=0.5),0.85340847943675,0.8481132075471698,0.22061349693251533,0.5405892964521948,0.2513488533916054,0.36,True
label-flip-2,2,label_flip,FedAvg,0.7995132287252319,0.8462264150943396,0.17567567567567569,0.4798844425422641,0.3003333571186876,0.38,True
label-flip-2,2,label_flip,FedProx (μ=0.01),0.36263109328504156,0.2952830188679245,0.06874588183615199,0.17798248606846356,0.47296780599375526,0.01,True
label-flip-2,2,label_flip,Median,0.8420020400092492,0.8320754716981132,0.22000498877525568,0.5346102557885805,0.2443074425670373,0.35,True
label-flip-2,2,label_flip,Krum,0.8510868884024178,0.8462264150943396,0.21915465428780845,0.5382215288611545,0.2314145184352559,0.33,True
label-flip-2,2,label_flip,FedF2 (γ=0.5),0.7862220498203106,0.8528301886792453,0.16960600375234522,0.4723092998955068,0.31513877517472366,0.39,True
label-flip-3,3,label_flip,FedAvg,0.5011214648303701,0.8613207547169811,0.10250364881553833,0.3472275043736214,0.3527820647634217,0.35,True
label-flip-3,3,label_flip,FedProx (μ=0.01),0.2952858822283643,0.24433962264150944,0.04989404738971297,0.13731311631852403,0.5501666311241104,0.01,True
label-flip-3,3,label_flip,Median,0.8594148371774397,0.8443396226415094,0.2348464969824193,0.5558315737175507,0.26691603046786017,0.39,True
label-flip-3,3,label_flip,Krum,0.8510868884024178,0.8462264150943396,0.21915465428780845,0.5382215288611545,0.2314145184352559,0.33,True
label-flip-3,3,label_flip,FedF2 (γ=0.5),0.3999966504085421,0.879245283018868,0.09920170303352847,0.34176751008434175,0.37231096014729054,0.34,True
sign-flip-1,1,sign_flip,FedAvg,0.8735809077608953,0.8320754716981132,0.2578193510669395,0.5756428664665187,0.24886451451818575,0.4,True
sign-flip-1,1,sign_flip,FedProx (μ=0.01),0.6963351147397152,0.730188679245283,0.1697740732616802,0.43982270712580973,0.39211283367560135,0.01,True
sign-flip-1,1,sign_flip,Median,0.8670293229719304,0.8452830188679246,0.2505592841163311,0.5731832139201638,0.22363016620972903,0.35,True
sign-flip-1,1,sign_flip,Krum,0.8653134677347902,0.8349056603773585,0.25163491612169464,0.5704524945210777,0.20754997314242604,0.33,True
sign-flip-1,1,sign_flip,FedF2 (γ=0.5),0.8740468251275547,0.8339622641509434,0.2647499251272836,0.5831903945111492,0.25157026533748994,0.41,True
sign-flip-2,2,sign_flip,FedAvg,0.8713421921023116,0.8471698113207548,0.24889135254988914,0.5721202854230377,0.2770657784547751,0.42,True
sign-flip-2,2,sign_flip,FedProx (μ=0.01),0.7430957896715887,0.7122641509433962,0.22225493082131292,0.49430404609139716,0.2820433002032665,0.01,True
sign-flip-2,2,sign_flip,Median,0.8573660757699197,0.8339622641509434,0.2334301557961447,0.5506415846518001,0.24174777002413791,0.36,True
sign-flip-2,2,sign_flip,Krum,0.8510868884024178,0.8462264150943396,0.21915465428780845,0.5382215288611545,0.2314145184352559,0.33,True
sign-flip-2,2,sign_flip,FedF2 (γ=0.5),0.871296810540624,0.8377358490566038,0.25620311598384304,0.5761744095509992,0.28525415690087425,0.44,True
