epsilon,clipping,rounds,centralized_auroc,federated_auroc,divergence
1.0,0.01,10,0.888,0.488,0.4
5.0,0.01,10,0.888,0.488,0.4
10.0,0.01,10,0.888,0.488,0.4
1.0,0.1,10,0.888,0.488,0.4
5.0,0.1,10,0.888,0.488,0.4
10.0,0.1,10,0.888,0.488,0.4
1.0,1.0,10,0.888,0.488,0.4
5.0,1.0,10,0.888,0.488,0.4
10.0,1.0,10,0.888,0.488,0.4
1.0,5.0,10,0.888,0.488,0.4
5.0,5.0,10,0.888,0.488,0.4
10.0,5.0,10,0.888,0.488,0.4
1.0,10.0,10,0.888,0.488,0.4
5.0,10.0,10,0.888,0.488,0.4
10.0,10.0,10,0.888,0.488,0.4
